"bg_name","tl_code"
"Афганистан","AFG"
"Австралия","AUS"
"Австрия","AUT"
"Азербайджан","AZE"
"Албания","ALB"
"Алжир","DZA"
"Амер. Самоа","ASM"
"Амер. Вирдж. о.","VIR"
"Ангола","AGO"
"Ангила","AIA"
"Андора","AND"
"Антарктида","ATA"
"Антигуа Барбуда","ATG"
"Аржентина","ARG"
"Армения","ARM"
"Аруба","ABW"
"Бангладеш","BGD"
"Барбадос","BRB"
"Бахамски о.","BHS"
"Бахрейн","BHR"
"Беларус","BLR"
"Белгия","BEL"
"Белиз","BLZ"
"Бенин","BEN"
"Бермудски о.","BMU"
"Боливия","BOL"
"Босна и Херцег.","BIH"
"Ботсвана","BWA"
"Бразилия","BRA"
"Брит. индоок.т.","IOT"
"Брит. Вирдж. о.","VGB"
"Бруней","BRN"
"Норвегия Буве","BVT"
"Буркина Фасо","BFA"
"Бурунди","BDI"
"Бутан","BTN"
"България","BGR"
"Вануату","VUT"
"Ватикана","VAT"
"Великобритания","GBR"
"Венецуела","VEN"
"Виетнам","VNM"
"Габон","GAB"
"Гамбия","GMB"
"Гана","GHA"
"Гвиана","GUY"
"Гваделупа","GLP"
"Гватемала","GTM"
"Гвинея-Бисау","GNB"
"Гвинея","GIN"
"Германия","DEU"
"Гибралтар","GIB"
"Гренада","GRD"
"Гренландия","GRL"
"Грузия","GEO"
"Гуам","GUM"
"Гърнси","GGY"
"Гърция","GRC"
"Дания","DNK"
"Д.Р. Конго","COD"
"Джибути","DJI"
"Джърси","JEY"
"Доминика","DMA"
"Доминиканска р.","DOM"
"Египет","EGY"
"Еквадор","ECU"
"Екватор. Гвинея","GNQ"
"Еритрея","ERI"
"Естония","EST"
"Етиопия","ETH"
"Замбия","ZMB"
"Западна Сахара","ESH"
"Зимбабве","ZWE"
"Израел","ISR"
"Източен Тимор","TLS"
"Индия","IND"
"Индонезия","IDN"
"Ирак","IRQ"
"Иран","IRN"
"Исландия","ISL"
"Испания","ESP"
"Италия","ITA"
"Йемен","YEM"
"Йордания","JOR"
"Казахстан","KAZ"
"Кайманови о.","CYM"
"Камбоджа","KHM"
"Камерун","CMR"
"Канада","CAN"
"Кабо Верде","CPV"
"Катар","QAT"
"Кения","KEN"
"Кипър","CYP"
"Киргизстан","KGZ"
"Кирибати","KIR"
"Китай","CHN"
"Кокосови о.","CCK"
"Колумбия","COL"
"Коморски о.","COM"
"Коста Рика","CRI"
"Кот д'Ивоар","CIV"
"Куба","CUB"
"Кувейт","KWT"
"Лаос","LAO"
"Латвия","LVA"
"Лесото","LSO"
"Либерия","LBR"
"Либия","LBY"
"Ливан","LBN"
"Литва","LTU"
"Лихтенщайн","LIE"
"Люксембург","LUX"
"Мавритания","MRT"
"Мавриций","MUS"
"Мадагаскар","MDG"
"Майот","MYT"
"Макао","MAC"
"Сев. Македония","MKD"
"Малави","MWI"
"Малайзия","MYS"
"Малдиви","MDV"
"Мали","MLI"
"МДО на САЩ","UMI"
"Малта","MLT"
"Мароко","MAR"
"Мартиника","MTQ"
"Маршалови о.","MHL"
"Мексико","MEX"
"Мианмар","MMR"
"Микронезия","FSM"
"Мозамбик","MOZ"
"Молдова","MDA"
"Монако","MCO"
"Монголия","MNG"
"Монсерат","MSR"
"Намибия","NAM"
"Науру","NRU"
"Непал","NPL"
"Нигер","NER"
"Нигерия","NGA"
"Никарагуа","NIC"
"Ниуе","NIU"
"Нова Зеландия","NZL"
"Нова Каледония","NCL"
"Норвегия","NOR"
"Остров Норфолк","NFK"
"ОАЕ","ARE"
"Оланд","ALA"
"Оман","OMN"
"Коледен остров","CXR"
"о. Ман","IMN"
"Острови Кук","COK"
"Хърд Макдоналд","HMD"
"Пакистан","PAK"
"Палау","PLW"
"Палестина","PSE"
"Панама","PAN"
"Папуа Н. Гвинея","PNG"
"Парагвай","PRY"
"Перу","PER"
"Питкерн","PCN"
"Полша","POL"
"Португалия","PRT"
"Пуерто Рико","PRI"
"Ирландия","IRL"
"Република Конго","COG"
"Реюнион","REU"
"Руанда","RWA"
"Румъния","ROU"
"Русия","RUS"
"Салвадор","SLV"
"Самоа","WSM"
"Сан Марино","SMR"
"С.Томе Принсипи","STP"
"Саудитска Ар.","SAU"
"Есватини","SWZ"
"Свалб. Ян Майен","SJM"
"Св.Ел.Възн.ТдК.","SHN"
"Северна Корея","PRK"
"С. Мариански о.","MNP"
"С.Винсент Грен.","VCT"
"С. Китс и Невис","KNA"
"Сейнт Лусия","LCA"
"Сейшели","SYC"
"Сен Бартелми","BLM"
"Сен Мартен","MAF"
"С. Пиер Микелон","SPM"
"Сенегал","SEN"
"Сиера Леоне","SLE"
"Сингапур","SGP"
"Сирия","SYR"
"Словакия","SVK"
"Словения","SVN"
"Соломонови о.","SLB"
"Сомалия","SOM"
"Судан","SDN"
"Суринам","SUR"
"САЩ","USA"
"Сърбия","SRB"
"Таджикистан","TJK"
"Тайван","TWN"
"Тайланд","THA"
"Танзания","TZA"
"Того","TGO"
"Токелау","TKL"
"Тонга","TON"
"Тринидад Тобаго","TTO"
"Тувалу","TUV"
"Тунис","TUN"
"Туркменистан","TKM"
"Турция","TUR"
"Търкс и Кайкос","TCA"
"Уганда","UGA"
"Узбекистан","UZB"
"Украйна","UKR"
"Унгария","HUN"
"Уолис и Футуна","WLF"
"Уругвай","URY"
"Фарьорски о.","FRO"
"Фиджи","FJI"
"Филипини","PHL"
"Финландия","FIN"
"Фолклендски о.","FLK"
"Франция","FRA"
"Френска Гвиана","GUF"
"Фр. Полинезия","PYF"
"Фр. южни и антаркт.","ATF"
"Хаити","HTI"
"Нидерландия","NLD"
"Нидерл. Антили","ANT"
"Хондурас","HND"
"Хонконг","HKG"
"Хърватия","HRV"
"ЦАР","CAF"
"Чад","TCD"
"Черна гора","MNE"
"Чехия","CZE"
"Чили","CHL"
"Швейцария","CHE"
"Швеция","SWE"
"Шри Ланка","LKA"
"Ю.Джорджия Ю.Сандв. о.","SGS"
"Южна Корея","KOR"
"ЮАР","ZAF"
"Ямайка","JAM"
"Япония","JPN"
"Kюрасао","CUW"
"Южен Судан","SSD"
"Синт Мартен","SXM"
